id,text
10043,Also check on your mother 🥲
10119,got this bc my gf said the flavour looked good and i didn’t check the cals cause she was with me 🥲 anyone know if the taste is worth it ?? ik it’s not that bad compared to most protein bars but aaa
10142,why does my family only call me when I'm NAPPING 🥲
10181,"Re: GRV’s wife. Why is it easy to hold less powerful people accountable than the people in power. A case can be made for her, she can’t control whatever her Dad did. Why can’t we be aggressive towards the current people in power? 🥲"
10329,"All of them, post reverse flashbang 🥲"
10522,"I’m sorry, I’m preoccupied with the murder, abuse, torture, suicide, and trauma 🥲. We need chibi now more than ever 😭"
10528,"Inka GOLDEN days ayipoyindhi 🥲
Back to Normal Routine days until comes up with something exciting 😍

#Pushpa2TheRule #HappyBirthdayAlluArjun"
10605,last few weeks have been rough and i thought finally this week things will be better but nah. i woke up w a fever and my throat hurts 🥲
10677,When y’all post YALL dog I be missing my dog like shit 😭🥲
10699,Oh no😂🥲
10821,"THIS WAS, excuse me for my language *ahem*, ORGASMICLY ASTONISHING! 😭💖👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏"
11153,HIS SMILES AT THE ENDING 🥲
11357,just woke up officially n got ANOTHER SELL!!!! 🥲
11359,"bad things come in threes i swear, was late for work this morning, lost at football & got punched in the back of the head 🥲"
11905,But I don't WANNA BECOME THE BALM OF MANY!!! THIS SHIT HURTS 😭🥲😭
11942,I don’t have a file to fit 🥲
11978,"Heath and Joaquin were superb, this one is a joke 🥲"
12057,"Must have been hurtful..🥲 but it’s ok!! Sis also got rejected twice one month ago from asking to watch ant man and polo match kns eh, so i feel u bro 👊🏻"
12086,My messages stopped working again 🥲
12356,salahs record is over with 😭😭😭😭
12364,Haaland is just a cheat code 🥲
12399,City are looking SCARY.. 🔥🥲 #SOUMCI
1246,"it means, we have to strength our votes, both globally or domestically (kr). 

rukidans & riyangi, please, please understand that ricky isn't safe and we HAVE to prioritze him always. no pity votes cause it just harm his debut spot. 🥲"
1247,"Yappa! I have not told her all this. Marwana hai kya? 
Right now I'm upholding our generation's dignity only thanks to the fact that all her favourite bands are from our time - Queen, Scorpions etc 🥲"
12490,Me too. 🥲💖💖
12626,I have the rest of the day off and an early day tomorrow…..I should really clean my room 🥲 it’s truly horrendous up there
12723,publication: almost always unpaid 🥲
12747,😖 I don’t understand why people are like this  🥲
12750,I love being a Coug 🥲❤️🏀 #GoCougs
12866,We need fi ask politely too? 🥲
12950,"I know and I know Arya Namazis appropriated our surname and gave our surname to a lot of LCs, Brahmins ka they didn't because it was tough to appropriate their surnames 🥲 Sikhs bhi Rajputs se hi liye hai but other SC/ST? You read these two to understand."
13130,Sir and parents 🥲
13236,oh… to have a safety net 🥲
1337,It’s all the time 🥲
13453,Cooked in pre-season and never got to play a game together whole season 🥲
13494,Someohow missing all THR mutuals today 🥲
13556,Southampton really couldn't hold on until half time? 🥲
13644,I was 13 when I started watching you...and jokes on you I was never someone's girlfriend around that time 🥲
13652,I don’t want to rank up to Gold in Valorant until I can finally hit heads. 🥲
13656,Today’s my suegra’s bday and all I wanna do is take a shot of mezcal with her & eat her pozole 🥲 miss her sm
13702,Pickup orders at Sephora are a game changer. I be in and out. Simply leaving with exactly what I came in for. Not spending another dime… 🥲
13772,To the person who just commented on my Bluey Fanfic (Don't judge. I judged myself enough for all of us.) I appreciate you. I needed that 🥲 Now if you would like to see a fanfic of Bluey find me on AO3. Brandy Cattle finally gets her dream. For real life. #Bluey
14129,"Just wanna see if MS and Faf can win trophy this season with these bowler 
MSD had a better bowlers when he won the IPL trophies
And Virat let's close the topic here 🥲

Bol toh aise rahe hai jaise bumrah and hardik were born international superstars..they were finds of season"
14333,Most of my music heroes are dead and I hope not on Twitter. 🥲
14416,can we stop w the blue ticking ah it's getting really annoying 🥲
1444,Maddo pratisha support panna automatically lose airum antha team 🥲 where are you watching IPL?
14474,It’s magical 🥲
14476,Dekha maine.. Totally classless 🥲 explains why his movies hardly get 10cr opening despite him being so good looking and decently talented
14611,"Thank you for this. I think a part of me has been waiting for that magic change, and since it hasn’t come yet as people around me have kids it made me feel a little broken. But not as broken as the ppl having kids just so they have someone to take care of them when they’re old 🥲"
14623,the little Edward 🥲
14797,Mine changes between 83 different wallpapers every time I lock my phone 😅🥲
14813,"Yo girl, we have same ideas, he doesn't even look like 32!!!!! Does he? He always likes to do his own version, I hope we see him as gorgeous as what he is 🥲"
14872,rting in hopes that more people are awake now 🥲
14920,"So sad. I used to like her, not anymore. 🥲"
14988,"hollup. ajinkya rahane scored a 19 ball fifty?? what world are we living in 😭😭
so busy ranting about chelsea that i missed the masterclass 🥲 #MIvsCSK"
15281,But do I have the time? No 🥲
15420,Sht up. It my biggest traumatic scene 🥲
15621,want to start 100 films in 100 days 🥲
15907,honestly it’s very hard to imagine but I’d like to hope so 🥲
15914,But why you take your shirt off 🥲
15941,I miss being in the US right now 🥲
15943,Definitely on bed rest this weekend 🥲
16002,"Baghban should be banned from TV completely 😑 everytime this movie comes, my dad thinks I'll remove him from his house 🥲and he starts planning to live seperately 🥲"
16079,"Applying for jobs again , 
looks like I have to answer for the bill collectors for a bit 🥲"
16081,people saw scoups running around w kkuma and that people isn’t me 🥲
16173,And auburn won’t cancel A-Day today 🥲 I’m going  to take a shower.
16183,"I saw ChanBaek, XiuChen, SeChen. Give me my other ships— esp KaiSoo and SeHo 🥲"
16194,If they not chased this in 13 overs with the kind of form they re having I will be shocked 🥲😭
16380,"Very painful to see, Sir 🥲"
16629,WHY ??? 🥲
16704,"5 specialty , total 43 Lecture 🥲"
16705,My NFTs aren’t showing in my wallet anymore 🥲 only in my gallery outside my wallet
16907,My thighs still hurt from doing 3 sets of 10 dumbbell lunges… which means I did 30 of them… 😖🥲
1691,Social life be so lonely when you don’t like to go out every weekend 🥲
16946,Adam yk I love u bro respectfully I’m a fan of izzy but bro we have to look at it with common sense he’s lost 3 times let’s be honest bro izzy is my African brother but Poatan has his number it’s just the truth man😔🥲🇧🇷
17078,Not working now 🥲
17101,She’s above his own boss 🥲
17230,😡🥲
17235,Being able to do your own braids is a blessing and a curse 🥲
17336,I’ve not had time 🥲 I just left it
17573,me tooo!! but i haven't ep 4 yet 🥲
17620,"Aye. I did have one with me after all that, so the spare is in. It was just knowing that was actually the issue 🥲"
17718,It’s the ones you least expect 🥲
17748,"Please press F for admin's MV piece and memorial coins, he got too busy making clips that he forgot to play the event 🥲"
17786,Lol I have march and Henry and raya on my bench so not much better 🥲
17797,We don't hv mountains here sadly 🥲
1780,bro i binge watch yellowjackets just to realized season 2 is barely starting 🥲
17830,my moots moved away while i was suspended i miss tjem 🥲
17897,"I read this in three days and my heart feels like it's being torn out with an ice cream scoop 🥲💔 I'm so proud of Stede for blocking him, in the same breath I'm so sad that Ed has been manipulated so badly into thinking he doesn't deserve real love that he sabotaged his chance."
18417,.......And so 🥲 everything on Twitter is going to be all about #BBtitans😭
18652,id get cancelled 🥲
18658,"yeaaaa when mine twitch it’s always 1 of 3 things. Not drinking enough water, stress, or lack of sleep. Most of the time it’s a combination of all 3 tho 🥲"
18716,Switching from P5R controls to P5S confuses the sht out of me lul. I knew that I’m one boss away on finishing P5S but I’m so lost when I opened it back after 1 yr of not playing it 🥲
18894,joshuji and kyeomie on youngji’s show 😭😭😭 woozi and cheol on suchwita jebal 🥲
18971,"Crush on teacher: ❌
Lied to parents: ✅
Hide marksheet: ❌
Failed on subjects: ❌
Heart break: 🥲✅
Cheated on exams: ✅
Smoked: ❌
Sleep during classes: ✅

Quote urs"
1919,"Be With you (sequel be there for you), Trisula, But.. I Love You(r) Mommy, Trust You, The Tale, Jodoh Who Knows, Untitled, Time of Our Life, Rival, It' Became My Baby, Destiny (dan sequelnya), Blind (dan sequelnya), Blink of an Eye, Forced Married, Power, Revived, banyak 🥲"
19196,Do y'all think that jungkook misses us every time he wears this bora underwear? 🥲
19220,yall that say mingyu moved out and the sofa is for his new house i dont like yalls energy 🥲
19295,i lived vicariously through her 🥲 hahaha
1934,"if anyone sees a clip of yesterdays goodbye session section A1 row S pls tag me in it 🥲 i need to confirm i really walked past binsan #ASTRO #MOONBIN #SANHA
#DIFFUSIONinBKK #MOONBIN_SANHA_FANCON_BKK"
19366,Why am I in so many fandoms 😥 sorry if my feeds are like everywhere 🥲
19394,I have always seen pc binders only above 2k 🥲
19456,The lost ticket fell short by just one 6 🥲
2023,"Damn, I hate late equalizers when they happen to us 🥲

Let’s get it back! 🙏
"
2056,When your hbs always put you on the grill 👨🏻‍🍳🥲
209,Gia has some really good shaped eyebrows.. but now she wants me to clean shape them for her 🥲
2112,dying to go to a science museum 🥲
2192,THE CLIFFHANGER 💀🥲 new season needed stacked
2193,Upset I can’t celebrate with my dawg tonight 🥲
221,I got some bad news today and I’m not handling it well ✌🏼🥲
222,HOW ABOUT please dont ever become a stranger whose laugh i could recognize anywhere 🥲
2277,Well look like I am going off line very soon. Some one blocked me today after I asked people to contact her I am not putting out anymore painting as too many groupies involved My heart is broken and there is no much reason to carry on with people attitudes Thanks Scott💔🇬🇧🥲👎
2393,That day taekookers will be on seventh cloud or will be dead 🥲😂🤭😌☺️
2610,괜찮아?🥲
2663,Yeah but as she grows she'll get more and more bad eggs in the fandom so best we can hope for is for her to start standing her ground with these kinds of people 🥲
267,How tf is the Easter bunny suppose to hide eggs when it’s raining all night long 🥲
3,"wts lfb

carpool for treasure hello in manila day 2 (april 15)

• pick up/drop off: sm calamba/centro mall pulo/sm sta rosa/shopwise san pedro OR KAHIT SAN NYO GUSTO?? EMZ,,! 🤨🥲
need to take all slots before/on april 12 to push through ~~

5 SLOTS AVAIL! 

DM INCH"
3095,泣いちゃった🥲🥲
3108,ayaw niyo bang mag i just want to stay in your lavender haze 🥲
3252,January was like last week and now it’s already almost Halloween 🤔😭🥲
3329,Is this your house?  You have my dream home!  You are so lucky 🥲
3391,Congratulations! I can't wait to visit the store 🥲👏🏾🙌🏾
3429,"Hari ini 10M bisa? 🥲

I'm listening to #People_Pt2 by #AgustD (with #IU () As My Trending Song Choice"
3438,I’m so exhausted 🥲
3458,Colored contacts look bad 9.9/10 times to me 🥲
347,"Oh, I voted just in time. Been a bit busy so didn't comment/QT. Missed the final round of wildcard though 🥲"
3610,HE IS THE BEST THING THAT’S EVER BEEN MINE 😩🥲
3805,A good day is when my picky toddler eats all his three meals 🥲
3833,im basically working 7 days a week; it's simply what i need to do rn. just letting yall know i won't be able to hang out as much for a while 🥲
3987,Ima be fine asf steady running up & down these stairs 🥲
3996,"Depression, ADHD & anxiety make tasks so difficult…

I know that I need to clean, but my ADHD brain is scrambling trying to figure out where to start while my depression is keeping me exhausted & anxiety is in the corner screaming because we aren’t getting anything done. 🥲"
4083,Always doomed at finding related literatures. My impatient self can never.🥲
412,I was just talking about the snippet from Fallon 👀 but I have seen other people say things and I have no clue where they are getting them 🥲
434,Tbh i think murdoch storyline in TSR is my fave 🤔🥲
4362,Man I’m too young to be in all this pain 🥲 wrist damn near feels useless back is non existent nd my neck is always stuck 🫠🫠🫠
4383,I think it’s a rumor too but I’m still panicking 🥲
4394,"Have you checked out my latest podcast episode?
Celebrating the B Side this week!
has had so many amazing b sides over the years, sadly most are not on streaming 🥲 BUT which ones made the episode?
Find out & listen here:"
4522,This is the sweetest post I’ve read 🥲
4618,Biden should not be allowed to receive holy communion. 🙏🥲
4661,"Is it only avi?
All their twitter history 🥲"
4787,congrats to my sister and the best brother in law i could ask for 🥲
4917,got me crying in the club 🥲
4924,Man I stopped my heart for this 😞🥲
5036,Yupp seeing others how much world is enjoying 🥲
5189,That’s so who they are 😂🥲… Erwin with doubts and Levi rants about tea. Like an actual convo would be a nightmare haha. One is ‘do you think.. this plan..’ and the other ‘… so I tell you these leaves come from the other side…’
5421,You catch me being friendly with everyone at the worst context given scenarios everytime son 😅🥲
5703,Dude everyone in this nail salon remembers me and is so happy to see me 🥲 they so cute lol
5737,So sorry for your families loss. 🥲
578,"3rd acc from corn x e tto, bcs 2 of my acc got 🍣🥲💔"
5918,It's leg day tomorrow and I still haven't recovered from the last one 🥲
5955,It is not. I learned that one that hard way 🥲
6000,"just noticed that it autocorrected and turned ""Simeon"" into ""Someone""🥲 
the fact is, they keep making these mistakes! it's not the first time they whitewash Diavolo, Mammon and Simeon
and for those who don't know, there's lore motives for Simeon not using his classic outfit"
6061,When the dress isn't red 🥲
6080,dang it i wanna just smooch yknow just a lil kiss give him a peck a lil mwah mwah here and mwah mwah there 🥲
6180,If only it snapped 🥲
6197,You’re violating Thankyou though. 🥲❤️
6210,The way people in the replies are missing the point 🥲🤦🏻‍♀️
6263,This is goals 🥲
6561,So close & he is smiling to the camera 🥲💖🧎🏻‍♀️I would drop my phone because I would be happy & nervous lol 🤣
682,"Taemin, that cover was beautiful 🥲"
683,Can i have this playlist please 🥲
6949,"Tears 🥲, but I may try out console eventually. Xbox or PS?"
6957,I feel this too very much right now. I absolutely adore it! Timezones suck tho 🥲
7063,Lost a tee shot in a hazard and duffed a chip 🥲
7196,and i love that for him i love him it’s fine 🥲
74,I missed so much 🥲
750,just like somi who announced the ranks relatively faster than the other star masters 😭 i hope minhyun also announces it quickly since he too knows the anxiety of waiting for the ranks to be announced 🥲
773,"Don’t know much about characters expect for those in VBS so, I hope this is good 🥲"
7867,Only the left one works 🥲
7997,So many emotions today. I’m excited for one achievement and sad for another loss 🥲
8151,1xBet just Dey give and take 🥲.
8201,This guy is just having fun with Nacho. Can’t even complain 🥲
8312,i see how it is.....🥲
8395,Feels like just yesterday I was changing his diapers. They grow up so fast 🥲
8403,"YOU DON’T NEED MOTIVATION!!!

You see as you’re reading this now eh, you’ve been motivated enough.

You’ve read too many quotes.

You only need one thing which is more powerful than Motivation. 

That thing is “DISCIPLINE”.🥲"
8415,There's fucking green grass in the South of Sweden? Bro we still have snow walls so high you can barely see oncoming traffic in a street crossing 🥲
8521,Thought it was me lol 🥲
8543,"Can’t get much worse than that can it 😳 hahahaha. I spilled a coffee in Costa today, made me think of you 🥲"
8615,You think its mid 🥲
8630,Movie theater popcorn is like air. Just be eating it and eating it feeling like I’m not eating anything 😭🥲 I done got this large and still hungry as a mf
8777,"""How do you know your boyfriend won't cheat on you?""
Because he's making me stand in the garden on a Saturday night to show me his new lightsaber that he got at a star wars convention 🥲❤"
8835,I can't wait to get back so we can be neighbors again 🥲
8840,The hardest grand finals to watch…🥲
8911,"4 is… my least favorite 🥲 I’m sorry I know it’s the fan favorite. (I still don’t think literally any jojo is bad 8/10 at least even part 1) I LOVE Kira as a villain 2nd only to DIO and my all time favorite jojo moment (jotaro after seeing kira hurt koichi) is in 4, but— (cont)"
8925,Well with all the train derailments lately maybe it's in case a train care catches on fire 🥲
8944,The whole crew back together 🥲 #StarTrekPicard
8981,Tryna find the motivation to Jim when I really rather be having a bottle of wine rn 🥲
9049,"It's just that my mom is the one to receive my packages cuz I'm not at home 🥲 ,so she gets curious and keep on asking what i bought... She doesn't open my parcel but she comes into my room and i can't push her out either 😞"
9104,i have to it’s my only option 🥲
912,this makes him miss him even more 🥲
9186,"No woman has all 5 before her 30s:
1. House
2. Marriage 
3.  Degree
4.  Kids
5. Mental, emotional and financial stability. 🥲"
9421,I can’t find my watercolors. I hate when I put stuff up. Because I hide shit from myself. 🤣😂😭🥲
9434,Now way everybody done grow nobody Dey talk to each other again 🥲
9463,i’m glad he worked with pdogg for his solo debut 🥲
9515,happens every time 🥲
9520,I’m about to tweak out 🥲
9558,برو پیویش :)🤝😂🥲
966,OMG AJAYLL IS BACKK??!! And got pop base tweeting this 🥲 shes the only legit reactor for suree
9714,I Missed the pay phone era 🥲
9779,I love hate this game cause I think Neymar was our motm and Messi got all the praises (fair) but I’m sure this is what eventually convinced him to leave Barca to go to that oil club 🥲
