id,text
10037,It’s too strong or some 😭 I get heart burn
10208,"//toh spoilers 
.
.
.
.
.
IM JS I FEEL LIKE WE MISSED SOME MORE BLIGHT SIBLING BONDING. feel like at least emira had a hand in the glow up and hair style and that’d have been a wholesome moment to see after the dust settled 😭😭😭😭😭"
10217,I thought he was bluffing till I played it mehn 😭
10449,I’m naturally a runner but the mention of a baby will have me cutting a nigga off for good 😭
10491,more like y’all just want views 😭
10515,breastfeeding is amazing and cheap and beautiful but bro when I tell you I still have not had a baby free night !! because I literally cant leave him for longer than a couple hours cause I have no backup supply!!! i just wanna sleep for 12 hours uninterrupted 😭
10517,You comin for everybody and they mama. Just UNHINGED 😭😭
10563,he's gonna burn this house to the ground 😭😭😭😭😭😭
10579,That’s exactly why I want it 😭
10701,girl took 2 hours to respond to people magazine i’m crying 😭😭😭 mind u they said it’s been weeks since they broke up like did she just not check her email ?
10762,Does he mean your 😭😭😭
10838,A-Reece fans are funny😭🤣 just listen to this fuy😭🤣🤣🤣🤣
10859,Dbza had good moments but it’s u know P A R O D Y not to be taking serious whatsoever nothing wrong with liking a scene but to take it serious is goofy 😭
10946,The first and last guy were making HEAVY eye contact 😭😭
10975,idk i was gonna say it’s a sagittarius thing 😭
10998,So fukka thought he wasn't going to act Omaru-san at first 😭 Thanks to members told him it's better to do it!!!! ohhhhh thx sunooooo
11015,angie’s so bored watching ufc with me 😭
11219,niggas be getting they ass beat in the UFC 😭😭😭
11236,GUYS...I WANT TO REWATCH TOH BUT THERE ISNT A VOD 😭
11384,"ok i’m seeing what y’all been seeing with sahbabii music
i like it 😭"
11400,imagine changing your music taste to impress him😭😭
11420,"I love the owl house very very much
I love it 🤧I love them all😭😭😭😭"
11450,"#RWBY9Spoilers #RWBYSpoilers #RWBY9 
The last time we saw her with these vacant eyes I think was from the apathy grimm but this time the emptiness was coming from within and guilt and trauma😭😭😭😭"
11469,honestly seventeen concert is like a reality check then here’s treasure concert asking teumes to BTO calling teume chiobu want Taobao teume home ?!?!?!?!?! The difference really 😭😂
11552,"🤣🤣🤣😂😭Oh my goodness, I never expected to hear that sentence ever😅🤣But one more thing to be super excited about🤣😂Yor super cute too bb♥️🌹♥️Especially the rubber cement booger balls😭😭😭I'm over here crackin'🤣🤣😂😂Whatever Yooou wanna dooo bbyyy😅🤣if Yooou want to"
11610,I liked one post and she’s all over my timeline 😭
11780,this is so sad like I can’t 😭💔
11841,"5 correct out of 7 attempted

And right, roommate. Le me who lives in a single room 😭"
12143,I found a vid on twitch but 2 minutes in it was deleted I am dying 😭😭😭😭
12154,38 kill and 2 deaths is really insane 😭
12179,what does that mean😭
12202,i’ve seen enough trump really that nigga he got a whole fed case going on rn and pulled up to the UFC fight 😭😭
12256,He didn’t have to do her like that😭😭
1236,I’m to much of a pussy for raw 😭
12466,"For real, never gonna listen to Rob's picks again tho 😭 jk"
12526,Girl he needs hair first 😭💔
12607,Ain't trump supposed to be locked up 😭😭
12690,Trump is at the ufc 😭🤣💀
12761,that you'll stand by me forever😭😭😭😭
1290,ye i just dont like how so many people are entertaining the troll like damn so many people have so much time on their hands 😭
13028,Just a quick reminder that this guy said aljo was ducking him and that he is going to be triple champ😭
13102,NO STOP NO NONO ENOUGH PLEASEEE THE TORTURE AFTER TODAYS EPISODE😭
13129,you caught me in my attempt 😭😭😭
13152,😭😭😭 why can’t i stop yawning
132,"What's a kpop song/b-side that you wish had a music video but never got one? For me, it's gotta be Spine Breaker and Sour Grapes 😭"
13282,"Now, Now Keyshawn, Just Relax 😭😭 Leave Frank Martin Alone Fam.. Not Yet"
13392,I thought it was a different brand. That’s why I was avoiding 😭😭
134,"Nan Chan ch 109:

aw omg, this is pure sugar 😭, so sweet. Their love is beautiful, please invite me to the marriage ❤️
The little stone omfg haahah cute af"
13665,Someone told me I have a beautiful voice on stream today. 😭
13737,the crewneck isn’t even a hoodie 😭
13768,Thought she was getting up but really she just wanted to get closer 😭
13854,Had the 1st round 10-8 for Rosas but then another 10-8 in the 3rd for Rodrigues. What a strange fight 😭
13870,"whew i forgot my momma wanted these personalized shirts for her birthday 😭 they say they should be here in time enough for her birthday, we got until the 20th before it's too late, so I'm finna shoot up aw prayers NOW 😭"
13874,why am i just finding out about their friendship 😭😭😭😭
13926,I CAN’T BELIEVE ELIRA AND MILLIE BOTH SANG KOKORO TONIGHT OMGGG 😭💕
13970,My uncle just said I need a break from my attitude 😭😭😭
1437,Ulooklike Donald ring side @ the UFC fight charges pending! 😭
14411,Uk those people who refuse to eat a food if they don’t like it 😭🌚🌝 that’s me !
1481,I suddenly remember that cockroach debate😭
149,"a very dark psychological scene in the drama was just so chaotic behind-the-scenes

I love them so much 😭😂

#LuoYunxi #BaiLu #TillTheEndOfTheMoon"
15030,"Why am I imagining Phuwin says ""Sawadee kap"" and then there's Living For You intro 555555 well, I guess this is when Nuengdiao's bar becomes famous cause you get to see 2 handsome bartenders 😂😭
#PondPhuwinFMinVietnam 
#PondPhuwin 
#ppnaravit 
#phuwintang"
15235,THANK YOU SOOO MUCH 😭
15259,why do we always get blamed for straight women queer baiting 😭
15356,"Not that I love the heroes, I’ve just rewatched the show like 4 times in a row and I’m going on the 5th time now😭😭 Anyways, Eraserhead is my favorite, but then I can’t choose between Fatgum and Mic 😭😭"
15369,i used to think this but then i got one once and it made me even sadder 😭
1543,this is so funny to me because i was intimidated by u😭😭😭
15507,What if I forget to ask you later 😭
15566,Idk what happened but I'm laughing so hard at all of this 😭
15608,"When hui post this and the singer itself havent post it yet, me in confuse is he did the challenge by himself 😭😭😭"
15699,I really nuh like tennis shoes cause all I pic da heels with all the outfits she had on in this movie 😭
15763,"chanbaek, don’t go live,, nature rly is healing 😭"
1582,I actually say McDonald’s burger ever since u said that it’s too good 😭😭😭😭😭
15853,I hope taylor debunks this awful rumour on her next tour 😭
15884,the code doesn’t work 😭😭 god I cant justify spending that much on a toy
15889,Ppl really be like that lol. 😭🤣🤣
15922,Stay off my shit @ bae 😭😭
15936,It ain't even out yet 😭
16019,I know my nigga be cheating down because I do too 😭
16072,"that tweet has me mentally and physically and emotionally confused rn 🥹 im not even that high rn i just dont know half the terms used , whats a campari or pronoun mode 😭, im mentally ill tho so i used to take vyvanse but it didnt work ☠️"
16098,Lmao it actually looks interesting this season but I don’t wanna get that invested again 😭
16129,Too many missed memories and opportunities 😭😭😭😭😭😭
16208,I miss the drive in.  😭🙂
1623,how many days left? I can’t wait anymore 😭
16454,Me too 😭 3 episodes to wrap everything up was not enough
16459,today i called my facebook cover my header 😭😭
16549,what even is that 😭😭😭
16602,Ashfkgjsgs thank you so much 😭😭💖💖 That means a LOT to me
16641,It still blows me he used niggas as a comma 😭
16673,Go ahead...you can't kill me more anyway 😭😭😭
16733,i want too😭
17034,Lmao if Ronaldo plays as winger you will literally cry 😭
17035,Yea I grew up playing it with my dad we beat gears 1-3 really good game with a good story and amazing characters about to go play it now I’m bored 😭
17173,"What are you even talking about 😭, shenhe is litterally considered than most by litteral adpetus she isn't just some experienced fighter, my girl had to have homicidal urges restrained and is constantly trying using adpetal art which were bestowed by morax to adepti"
17182,i’m crying she in the comments saying chill she got a gf 😭😭
17245,I know 😭😭😭 one day
17323,I’m screaming at all the cards.😭🙈
17429,"Season 1,the only one I didn't finish 😭"
17452,Don’t never see food like this in the Winter 😭😭 But as soon as the sun come out 🙄😤🤨
17571,Why nobody told me that the new Avatar is a 3 hour movie!!? 😭these kids are about to have movie night by themselves!! 😅
17650,I’m not ready for break to be over 😩😭😭😭😭😴 we’re playing hooky Monday 🤣🤣
17758,Ain’t no Studio’n Cuz😂 that’s what I need this battle for then my Back Ends a be Triple No Kizzy🗣️😭Nah fr tho
17966,yeosang if you’re reading this please don’t ever cut your hair 😭😭
18057,😭🙂 Bruh people are crazy
18090,😭😭😭😭 terrible lmao
18155,"HAHAJSHAHAHS it’s understandable naman broo dw dw,, I’m sure we all have that one drunk moment natin to be embarrassed about😭"
182,Looking for more people to pub/rank/vibe with. 😭 Being by myself all the time is kinda getting old.
18300,"After 6 fuckinn years they broke up 
How do you take it women 😭"
18544,"zhanghao: first ep, him with the yuehuaz
jeonghyeon: that 주세요 clip of him with jianyu 😭"
18554,probably the only part that stayed😭
18560,completely forgot its easter weekend which means all my family is here and a lot of cooking 😭😭 ive made so many tamales
18983,3 whole years that truly made me sooo freaking happy …. Thank you owl house 😭😭💜💜💜
1901,Everytime I try to hug my little cousin she pushes me away and roll her eyes at me like damn what I do to you 😭
19061,I’m still not over a guy I started liking back in 2015 😭😭😭
19132,playing weirdmageddon right after the owl house ending is insane i thought this nigga bill cipher was boutta kill everyone 😭😭😭
19170,Tyson said trump looks like a cardboard cut out here and im crying 😭
19225,GIRL SAME 😭 this tweet made me go check and to my surprised i’m also blocked ☠️
19297,"TOH SPOILERS//
.
.
.
.
.
.
NO BECAUSE WHY THEY GOTTA DO AMITY LIKE THAT 😭"
19313,wait can i have the full first clip on the video? i’ve been looking for it for ages and i can’t find it 😭
19325,JACKIE IS WILD 😭😭😭 I can’t with this season
19471,he honestly will 😭😭😭
19475,Alien a sing nf by this block party in ghetto 😭😭😭😭 the boii a mash up the place selebembeveeme
19498,what ss 😭😭
1959,at least i haven’t gotten anything spoiled 😭😭 i saw a couple screenshots of luz on my tl but thats not a spoiler… holy shit guys the main character is in the finale 😱
19710,the laugh I let out 😭😭😭
19770,"//TOH spoilers 
.
.
.
.
.
.
.
That finale was everything!  EVERYBODY GROWN UP & HAPPY! A big thank you & the incredible Owl House staff for an amazing series! 

Been watching for such a long time! 

Got me about to tear up fr! 🥹😭 #TheOwlHouseFinale"
2041,be with me in every way 😭😭😭
2265,omg no i've never even had any of the fancy kellogg's cornflakes/cereals as far as i can remember 😭
2535,"You made them 😭 cry.
Baap level trends by akki fans. After pathan they were flying in the sky."
2553,This the hardest I laughed in a min 😭😭😭😭😭😭😭
2625,real. but can i get the link to this bc I’m obsessed 😭
265,My cat went fucking bonkers with his catnip 😭
2778,This was me trying to hurry up and get from down there. I thought I caught a sweet spot after the game but there was a concert too! 😭
2893,I see young k 😭😭😭
3018,ollie this has been happening the whole time 😭😭 ive been here at least 30 minutes
3069,"whatever this international bug is, fuck you i hate being this sick but i also know being sick is a sign that my body and mind need rest which is very true but I HAVE THINGS I WANNA AND HAVE TO DO MAN 😭"
3368,😭😭 i be giggling to myself
3384,gagged her so bad 😭😭
371,give bro another chance he aint mean that😭
3732,"The timeline is so broken rn, I'm seeing tweets from 12-24 hrs ago 😭"
375,IM NOT OKAY 😭 I HOPE THD RUMORS ARENT TRUE CUZ I DONT ACCEPT THAT 😭
3813,why are school employees so shifty lmao he literally flew me out to visit BC my senior year! 😭 so I can’t even hate fr
3852,Sadly not😭
4070,Us Ga fans we’ll be Natty bound without him .😭 he’s a crybaby
4120,BRUH I SORTA WAS BEFORE I FOUND DREAM it was a dark time in 2020😭
429,Please dears have mercy retweet share pledge adopt have mercy remember giving is the way we receiving 💔😭🙏🙏🙏🙏🙏🙏
4396,When your kids have both reached the age of not wanting a bunch of little toys from the “Easter Bunny” 😭
4578,not the trust issues (diabolic version) 😭
4714,ikr!! still hoping that this is just one of the “rumors” 😭😭😭
4803,Why does my niece get blessed with amazing eyelashes 😭😭😭 they’re so so so long. I’m talking Louis long and Louis pretty eyelashes
4836,"THE FACT THAT SHE PRETENDED TO NOT KNOW WHO I WAS, MADE ME WORRIED BUT I FIGURED IT OUT, GOT ANGRY AND JUST BLOCKED HER AFTER THAT LMAO 😭😭"
4977,Take me back to 2 years ago 😭💀
5094,still wont sink in that i’ll finally be jamming to better than gold on the 30th 😭
513,WHY IS HE LOVING THIS😭😭😭😭😭
5169,Elda threw a party for her aspiration and idk what happened but everyone started hooking up 😭 Elda and Vincent didn’t even have their date yet and  the blonde lady in the white dress is the wife of one of the guys in the third picture
5361,Awww 😭😭. I'm sorry you went through that. But what I understand of private school kids is that they're assholes most of them time. I hope you're recovering much better now 🥺🥺
5401,Yes! I Love You too ❤️😭
5470,why do i have 3 privqrts can it be positive 😭😭
5552,"I'm streaming ""Little Nightmares""
in 1 hour!! I'll beat the downloadable contents today👻I'll definitely get lost so please help me〜

♦️13時から""リトルナイトメア""のDLCやります！！毎回迷子になるから助けてください😭

♦️場所

＃新人Vtuber"
5724,Joined them all!!! Goodluck 😭😭
5871,i be forgetting who the fuck i am. it be bad for everybody when i remember tho😭😭😳
5887,im looking for the video😭
6011,What’s that got to do w anything 😭 like I get it you hate WVU but Dawn P treating her players like shit when she left has got nothing to w the hiring process over Stephens
6079,Donald Trump is literally right up next to the cage 😭🥴😫 #UFC287
6159,no but what goes on inside their heads i don’t understand.. she said herself that andy is the first man she’s ever loved halle i’m so 😭😭😭
6193,I’m crying cause why the bunny look so evil???😭
6223,I had to fight those people now they posting for clout 😭 hope she’s okay tho
6579,oh this me all the time. 😭
6672,you want that ugly tall gremlin 😭 okkk
6702,Yess I'll go even if it's in singapore fr 😭😭😭😭
6810,This is so sad 😭
6819,"I can't wait til he come home, hope they take him on a tour cause I'm in there😭😭😭🤑🤑🤑"
686,Pokemon at some point jus started making different flavors of Incineroar 😭😭
6925,"ik, it’ll for sure be doubled that at least when he goes to college 😭"
6939,Acting like it's hard to beat us 😭 Ur meant to beat us every year but you still don't
7,With Lampard??? 😭😭😭😭😭
7057,I just finished watching the toh ending and ngl I cried 😭😭
7098,"There‘s a lot ppl who hate bkdk bcs they see deku as straight Lmfao? The guy and girl have almost the exact sme relationship and sback story ppl see that who call bkdk toxic a better relationship, while bkdk is not even inhealthy anymore?😭"
7137,hopper and max 😭 i already know the answer to this
7851,he doesn’t curse all the time.. just randomly out of excitement or concern.. 😭 but still!
7890,at least you get this 😞 i don't even get JUNHYUK mirae with yoonwoo tho 😭😖
7988,They was SERIOUS! 😭
8045,THE MONTAGE OF HER DOING EVERYTHING SHES MAD THAT BRAUNWYN DID 😭😭😭😭😭 I love when this show exposes her hag ass as a massive hypocrite
8148,Omg this 🥺🤧😭🥰🥰
8249,"AWEEE
They’re like a family Omg 😭💖💖💖"
8261,Haters be like “I hate bts” why did Bts push you so your ice cream fell? Did they pick you last in pe class? 😭 Girly Bffr you don’t even know them
8262,Cheslea sure know how to bounce man to man to man 😭😭😭😭
8378,this is one of the reasons why I'm not ready to have a bf like I'm broke😭
8624,Bro I was crying once the credits started 😭 I'm gonna be rewatching the episode cause it was so good
9043,Ngl I thought so too😂 I was like tf the dog doin😭
9106,"Does someone have any tissues left, I still feel like crying.😭😭😭😭"
921,"I’m rooting for them but I’m scared!!! 😭
The last time I rootedfor the black couple… well we know how that ended🥲"
9429,That was the last time we had a good qb as well 😵 but now that Watson is in town y'all are done for 😭
9541,"Lol I know, You wanna make your original character ahead!😭❤️"
9545,I really wanted Joey and Rachel to work 😭 Hakeem and moesha pissed me off it looked so random and forced
96,he's just like this 😭😭😭
9670,i just got removed off of a youtube premium family plan wtf i’m actually so sad 😭😭😭
9682,😭😭😭 Same here this week so my face was burnt up too! Aloe Vera and drink water
9718,Some kinda way I still end up getting a dm on twitter 😭
9835,Ow yess! Can’t stop myself 🥹😭
9943,"W the face off, Adjust, Run the break😭 that shit was perfect"
