ID,Comments
1,Didn't that #CovidUK killer🤡 #Johnson do enough damage? Will folks be so gullible as to elect another devious establishment chancer  if so #Nothing_will_Change
2,He is right.. there was/is no chaos 🤡
3,Dumb and dumber. Taking 40 years of history and shitting on it in 7 months. Clowns 🤡
4,"I see a bunch of white college communists like yourself, virtue signaling to make themselves feel better about themselves!  🤡s"
5,Your saying you want Republican DAs to make up crimes to arrest Democrats? And you don’t want the FBI investigating federal crimes or terrorists? Sound like an Un American Fascist to me! 🇺🇸🤡
6,You’re literally trying to remove your own check 🤡
7,At least we're playing for it 🤡
8,"Yep, I tried to make that same argument with a certain guy who twisted himself into froot loops insisting you could interpret Tifa’s feelings in the Lifestream as platonic 🤡"
9,Why TF does he talk like that? What a 🤡
10,That's a lot of paint from Home Depot. 🤡
11,thats why you’re on the list🤡
12,What’s the point in lying? 🤡
13,"42% tax rate to walk on pavements full of holes, streets full of rubbish and no visible police presence.

Christ! 🤡"
14,But Gavi is the problem and Bernabeu senior players has sent message to Barcelona heavyweight players to warn him 🤡🤡🤡🤡🤡
15,“Why do ppl hate Christians so much?”  — 🤡
16,Ass clown 🤡🤡🤡🤡🤡🤡 reporting. Climate scam.
17,Maybe he should change his bio to ‘always asking questions and never giving answers….’ Big dopey 🤡
18,is a whole 🤡
19,Ayyy peeee 🤡
20,“Good colleague”= someone we can easily control🤡
21,DLO is shooting better than Russ all around this year this is not a debate you wanna have goofy 🤡
22,"You are a Minister of the Federation for goodness sake ! You have brought childishness, immaturity and shame to the position of a minister of the federation. Election is over. Go back and face your duty of providing employment for Nigerians or at least pretend to be at it🤡"
23,I did and my last reply was also to this silly theory.🤡
24,Yup. This was what confirmed it for me. They let him🤡around like a fairy &amp; begin the Trans Agenda Psyop in a nice subtle way. I am 1000% convinced he’s not judge some random Trans person who got lucky. I’m assuming CIA since Alex Jones confirmed they’re behind the Trans push
25,"Go ahead and use that logic in any other setting then ""I'm tired of career surgeons I want a plumber to do my open heart surgery""  🤡"
26,"There’s absolutely ZERO similarities bet VEEP &amp; DT! Both she &amp; POTUS have been all over this country showing up for ppl! Can’t say same for this vapid, soulless, dementia-ridden narcissist who thinks he won an election he clearly lost, &amp; impeached 2x, &amp; was just indicted🤡"
27,"Why did “the 3 “ vote against a school safety bill this week- the bill that ALL but 4 Dems voted for? With a huge BIPARTISAN effort, these clowns chose to rebuke THEIR own party in a shameful display of narcissistic fund raising. They’re shills, grifters &amp; you fell for it🤡"
28,Sounds like they know you pretty fucking well. 🤡
29,Hahaha dude gets his first viral tweet and doesn’t want to delete it even though the fact checker demolished his stupid statement 🤡
30,"Billy the Clown 🤡 
.
#waltenfiles #thewaltenfiles"
