ID,Comments
1,👍👍👍
2,"You're right Stevie 👍
Brought to you by the same bloke who did BLM - George"
3,"Fun fact:

This tech in SF6 is a test for the when the Chris Redfield vs Boulder scene gets remade 

Trust me on this 👍"
4,"Well Twitter has always been that in all spheres. Take what suits you, leave the rest.👍"
5,"I'd be like ""have you seen moonknight? Goddess hippo? Besides, you try messin with a hippo, see how far you get. They adapt, they conquer, they survive. Just like I will. So, yes. For me, it's the highest compliment."" 👍"
6,"The good part about constitutional carry , we don't have to leave it in the car 👍👍👍"
7,KBFC fans always appreciate fair play. No doubt on that 👍
8,"Touch down Pollachi , area with more Pumpset with Coconut trees suitable for shots all the time ,big W for Goundars👍"
9,2 years and i might move 👍
10,I'm glad you agree it's a social construct! Let's just let people live their lives and move along 👍
11,Absolutely correct.👍👍👍
12,"“my team is losing”
“leave with my head hung, you are the only one who seems to care” ah listo me cagué la noche👍"
13,"Interestingly enough, I wouldn't use an AR against a person. Open choke 12 ga. With flechette rounds are far more effective, slugs, or even dragons breath. All from a very not scary pump action shotty. 👍"
14,  OH  REALLY?? BET- LEMME  FOLLOW YOU  ON MY COLBY ACC👍👍
15,Nice👍 any chance you're going to complete the pair?
16,Very well done 👍
17,"Just when Ponzinibbio looked to be doing well with the leg kicks, good knockout from Holland and great stoppage from the ref👍 #UFC287"
18,My brother likes to play Europa Universalis IV. I made sure to tell him what religion should be dominating 👍
19,This was a sweet looking dragster 👍
20,"Beautiful young dancing, traditional Chinese martial arts routines, harmonious and wonderful👍

"
21,👍
22,👍 #MikeAdams gets it like I do!  announces RUN FOR PRESIDENT - Here's why this is AWESOME! #JFKjr2023
23,So well said 👍
24,the first half of her albums are also about a version of her life that isn’t a reality more hope this helps 👍
25,Done 👍
26,i made cupcakes 👍
27,"God
Bless
Nigeria🇳🇬
The best country in the whole world. I LOVE MY COUNTRY 👍🇳🇬"
28,Everything that's there in this tweet of your's can be encapsulated in your last word 'grow'. 👍
29,Done 👍
30,Thanks for sharing 👍
31,I’m just here for the Perfect Strangers gifs tbh 👍
32,I knew Your Mind will blow 👍
33,i think like 3-4 years have gone by and luz is going to college in the demon realm but can still travel between realms 👍👍👍
34,Well they are all great pieces from what I can see.👍
35,Puede ser ..👍
36,"I hate to be a grumpy old so and so but I paid my first HECS off while studying by working every weekend and holiday, it was a huge sacrifice and I drove home on my last $50 and haven’t had to worry about it. I’ve booked up more since and I’m with you John, cheap money. 👍"
37,Certainly yes 👍
